City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,saint augustine beach,29.8505,-81.2654,309.85,79,75,5.66,US,1691611934
115,murzuq,25.9155,13.9184,302.57,17,0,4.81,LY,1691611935
116,canchungo,12.0672,-16.0333,300.22,83,71,2.87,GW,1691611935
117,iskateley,67.6803,53.1512,286.16,81,44,2.3,RU,1691611865
118,wewak,-3.5534,143.6268,298.52,88,87,3.79,PG,1691611935
119,carnarvon,-24.8667,113.6333,292.58,76,35,4.61,AU,1691611846
120,catriel,-37.8791,-67.7956,292.06,26,100,7.03,AR,1691611936
121,lamu,-2.2717,40.902,297.27,84,22,6.6,KE,1691611936
122,san luis,-33.295,-66.3356,293.07,24,100,1.52,AR,1691611776
123,stanley,54.868,-1.6985,291.36,81,75,3.09,GB,1691611842
124,vilyuchinsk,52.9306,158.4028,286.07,79,100,2.67,RU,1691611847
125,taulaga,-11.0553,-171.0883,300.72,81,26,6.9,AS,1691611868
126,menongue,-14.6585,17.691,289.97,32,50,2.48,AO,1691611938
127,tokonou,9.65,-9.7833,295.22,97,99,2.57,GN,1691611938
128,codrington,-38.2667,141.9667,283.53,81,60,7.08,AU,1691611844
129,hamilton,39.1834,-84.5333,301.45,76,75,4.63,US,1691611652
130,wailua homesteads,22.0669,-159.378,304.39,73,75,9.77,US,1691611853
131,copiapo,-27.3667,-70.3333,289.98,31,99,3.18,CL,1691611694
132,dakhla,23.6848,-15.958,296.16,83,7,10.29,EH,1691611939
133,sao gabriel,-30.3364,-54.32,287.78,90,95,5.36,BR,1691611755
134,masterton,-40.9597,175.6575,277.53,99,100,1.99,NZ,1691611940
135,weno,7.4515,151.8468,301.63,78,89,3.5,FM,1691611858
136,ancud,-41.8697,-73.8203,283.78,92,100,7.72,CL,1691611570
137,harbatpur,30.45,77.7333,298.82,87,17,1.39,IN,1691611941
138,pizarro,4.9533,-77.366,301.92,74,51,3.21,CO,1691611941
139,bara,10.3744,10.7288,297.31,84,100,1.53,NG,1691611942
140,west island,-12.1568,96.8225,298.14,83,75,6.17,CC,1691611840
141,bredasdorp,-34.5322,20.0403,284.17,93,0,2.03,ZA,1691611843
142,nova sintra,14.8667,-24.7167,296.18,73,54,7.86,CV,1691611843
143,longview,32.5007,-94.7405,313.29,29,0,6.69,US,1691611943
144,daoukro,7.0591,-3.9631,295.51,98,100,2.36,CI,1691611943
145,holualoa,19.6228,-155.9522,300.68,74,20,5.14,US,1691611868
146,alliance,40.9153,-81.1059,302.28,63,77,4.28,US,1691611844
147,pisco,-13.7,-76.2167,294.18,78,100,3.09,PE,1691611842
148,tolanaro,-25.0319,46.9987,292.64,89,5,3.31,MG,1691611862
149,dunedin,-45.8742,170.5036,277.48,70,47,4.02,NZ,1691611613
150,thompson,55.7435,-97.8558,293.75,33,41,3.6,CA,1691611845
151,afyonkarahisar,38.75,30.6667,294.51,72,1,2.5,TR,1691611945
152,turpan,42.9333,89.1667,306.61,25,31,2.21,CN,1691611945
153,vila do maio,15.1333,-23.2167,300.59,75,100,6.57,CV,1691611945
154,serignan,43.2787,3.2771,299.25,68,0,1.54,FR,1691611946
155,umm ruwaba,12.9061,31.2158,303.23,53,72,2.98,SD,1691611946
156,lagunas,-5.2269,-75.6753,306.06,48,86,0.62,PE,1691611946
157,kone,-21.0595,164.8658,289.78,76,65,2.87,NC,1691611839
158,kill devil hills,36.0307,-75.676,303.15,69,0,2.57,US,1691611947
159,thunder bay,48.4001,-89.3168,297.1,38,40,6.17,CA,1691611947
160,porto novo,6.4965,2.6036,297.76,87,100,4.19,BJ,1691611757
161,kyzyl-suu,42.3414,78.0056,290.37,47,0,2.53,KG,1691611948
162,ramnagar,29.4,79.1167,298.83,90,98,0.43,IN,1691611948
163,san luis de la loma,17.2706,-100.8939,302.96,78,100,1.89,MX,1691611854
164,san juan de miraflores,-12.1629,-76.9635,294.44,74,32,4.42,PE,1691611949
